num_of_agents,num_of_items,value_noise_ratio,beta,delta,algorithm,random_seed,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
10,4,0,0.001,{0.001},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.033411500000511296
10,4,0,0.001,{0.001},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.03300609999860171
10,4,0,0.001,{0.001},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.029879000008804724
10,4,0,0.001,{0.001},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.03318129999388475
10,4,0,0.001,{0.001},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.03307210000639316
10,4,0,0.001,{0.34},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015534799997112714
10,4,0,0.001,{0.34},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01619080000091344
10,4,0,0.001,{0.34},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01659639998979401
10,4,0,0.001,{0.34},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.013454799991450273
10,4,0,0.001,{0.34},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01623400000971742
10,4,0,0.001,{0.5},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.0157069999986561
10,4,0,0.001,{0.5},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014357100008055568
10,4,0,0.001,{0.5},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.019146500009810552
10,4,0,0.001,{0.5},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015866200003074482
10,4,0,0.001,{0.5},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015545299989753403
10,4,0,0.001,{0.8},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.017280500003835186
10,4,0,0.001,{0.8},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01463470001181122
10,4,0,0.001,{0.8},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.016200199999730103
10,4,0,0.001,{0.8},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015945200007990934
10,4,0,0.001,{0.8},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015100299991900101
10,4,0,0.001,{0.9},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.013198500004364178
10,4,0,0.001,{0.9},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.02582139999140054
10,4,0,0.001,{0.9},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01672889999463223
10,4,0,0.001,{0.9},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.017988199993851595
10,4,0,0.001,{0.9},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.017288599992753007
10,4,0,0.1,{0.001},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.02893719999701716
10,4,0,0.1,{0.001},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.03149190000840463
10,4,0,0.1,{0.001},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.02789949999714736
10,4,0,0.1,{0.001},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.029659800013178028
10,4,0,0.1,{0.001},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.031304300006013364
10,4,0,0.1,{0.34},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01428479999594856
10,4,0,0.1,{0.34},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015771100006531924
10,4,0,0.1,{0.34},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015804000009666197
10,4,0,0.1,{0.34},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015696799993747845
